test_name,b_bp,r_bp,txn_id,op_type,bank,latency_ns
mem_full_test,0,0,385,WR,0,50.00
mem_full_test,0,0,387,WR,0,40.00
mem_full_test,0,0,389,WR,0,40.00
mem_full_test,0,0,391,WR,0,40.00
mem_full_test,0,0,393,WR,0,40.00
mem_full_test,0,0,395,WR,0,50.00
mem_full_test,0,0,397,WR,0,50.00
mem_full_test,0,0,399,WR,0,40.00
mem_full_test,0,0,401,WR,0,40.00
mem_full_test,0,0,403,WR,0,40.00
mem_full_test,0,0,405,WR,0,50.00
mem_full_test,0,0,407,WR,0,40.00
mem_full_test,0,0,409,WR,0,50.00
mem_full_test,0,0,411,WR,0,40.00
mem_full_test,0,0,413,WR,0,40.00
mem_full_test,0,0,415,WR,0,40.00
mem_full_test,0,0,417,WR,0,50.00
mem_full_test,0,0,419,WR,0,60.00
mem_full_test,0,0,421,WR,0,50.00
mem_full_test,0,0,423,WR,0,50.00
mem_full_test,0,0,425,WR,0,40.00
mem_full_test,0,0,427,WR,0,40.00
mem_full_test,0,0,429,WR,0,40.00
mem_full_test,0,0,431,WR,0,40.00
mem_full_test,0,0,433,WR,0,40.00
mem_full_test,0,0,435,WR,0,40.00
mem_full_test,0,0,437,WR,0,50.00
mem_full_test,0,0,439,WR,0,40.00
mem_full_test,0,0,441,WR,0,40.00
mem_full_test,0,0,443,WR,0,40.00
mem_full_test,0,0,445,WR,0,40.00
mem_full_test,0,0,447,WR,0,40.00
mem_full_test,0,0,449,WR,0,40.00
mem_full_test,0,0,451,WR,0,40.00
mem_full_test,0,0,453,WR,0,40.00
mem_full_test,0,0,455,WR,0,40.00
mem_full_test,0,0,457,WR,0,40.00
mem_full_test,0,0,459,WR,0,40.00
mem_full_test,0,0,461,WR,0,50.00
mem_full_test,0,0,463,WR,0,40.00
mem_full_test,0,0,465,WR,0,50.00
mem_full_test,0,0,467,WR,0,50.00
mem_full_test,0,0,469,WR,0,40.00
mem_full_test,0,0,471,WR,0,50.00
mem_full_test,0,0,473,WR,0,60.00
mem_full_test,0,0,475,WR,1,50.00
mem_full_test,0,0,477,WR,1,40.00
mem_full_test,0,0,479,WR,1,40.00
mem_full_test,0,0,481,WR,1,40.00
mem_full_test,0,0,483,WR,1,50.00
mem_full_test,0,0,485,WR,1,40.00
mem_full_test,0,0,487,WR,1,40.00
mem_full_test,0,0,489,WR,1,40.00
mem_full_test,0,0,491,WR,1,40.00
mem_full_test,0,0,493,WR,1,40.00
mem_full_test,0,0,495,WR,1,40.00
mem_full_test,0,0,497,WR,1,50.00
mem_full_test,0,0,499,WR,1,50.00
mem_full_test,0,0,501,WR,1,40.00
mem_full_test,0,0,503,WR,1,40.00
mem_full_test,0,0,505,WR,1,50.00
mem_full_test,0,0,507,WR,1,40.00
mem_full_test,0,0,509,WR,1,40.00
mem_full_test,0,0,511,WR,1,40.00
mem_full_test,0,0,513,WR,1,40.00
mem_full_test,0,0,515,WR,1,50.00
